"movie_id","movie_title","movie_score","movie_pubdate","movie_type","movie_actors","movie_director"
"20425292","私人战争 A Private War","7","2018-09-07(多伦多电影节) 2018-11-02(美国点映) 2018-11-16(美国)","剧情 传记 战争","裴淳华 詹米·多南 汤姆·霍兰德 斯坦利·图齐 安东尼萨桑·杰苏萨桑","马修·海涅曼"
"20438964","无敌破坏王2：大闹互联网 Ralph Breaks the Internet","8","2018-11-23(中国大陆) 2018-11-21(美国)","喜剧 动画 奇幻 冒险","约翰·C·赖利 萨拉·西尔弗曼 盖尔·加朵 塔拉吉·P·汉森 杰克·麦克布瑞尔 简·林奇 艾伦·图代克 阿尔弗雷德·莫里纳 艾德·奥尼尔 肖恩·吉布朗尼 弗卢拉·博格 蒂莫西·西蒙斯 黄阿丽 韩秘书·布雷克 葛洛泽尔·格林 瑞贝卡·薇索基 山姆·理查森 雅布其·杨-怀特 莫里斯·拉马奇 梅丽莎·维拉斯诺 凯蒂·洛斯 贾米·埃曼 霍拉提奥·桑斯 亚历克斯·莫法特 琼·斯奎布 德拉·萨巴 菲尔·约翰斯顿 约翰·迪·玛吉欧 瑞奇·摩尔 科琳·巴林杰 达尼·费尔南德斯 蒂芙妮·赫雷拉 阿娜·奥缇兹 迪安娜·阿格隆 杰森·曼兹沃克斯 雷蒙德·S·佩尔西 伏霞 罗杰·克莱格·史密斯 蒂姆·艾伦 布拉德·加内特 安东尼·丹尼尔斯 科里·伯顿 范·迪塞尔 维韦卡·波林 迈克·吉亚奇诺 凯文·迪特斯 尼可·斯彻金格 丹·雷诺斯 艾琳·贝达 克里斯汀·贝尔 裘蒂·班森 奥丽伊·卡瓦洛 詹妮弗·黑尔 凯特·希金斯 琳达·拉金 凯莉·麦克唐纳 伊迪娜·门泽尔 曼迪·摩尔 佩吉·奥哈拉 帕米拉·里本 阿尼卡·诺尼·罗斯 温明娜 珍妮卡·贝尔格雷 比尔·哈德尔","菲尔·约翰斯顿 瑞奇·摩尔"
"23774869","绿毛怪格林奇 The Grinch","6","2018-12-14(中国大陆) 2018-11-09(美国)","喜剧 动画 奇幻","本尼迪克特·康伯巴奇 卡梅伦·丝蕾 拉什达·琼斯 法瑞尔·威廉姆斯 特里斯坦·奥哈尔 基南·汤普森 山姆·拉瓦尼诺 雷蒙·汉密尔顿 安吉拉·兰斯伯瑞 斯嘉丽·艾斯特维兹 迈克尔·贝亚蒂 罗里·艾伦 卡特·海斯汀斯 卡洛斯·阿拉斯拉奇 约翰·卡西尔 凯茜·卡瓦蒂妮 丹尼·曼恩 杰里米·马克斯韦尔 汤森·科尔曼 斯科特·摩西尔 梅里·康德伦 拉瑞恩·纽曼 布莱恩·T·德莱尼 约翰·德米塔 比尔·法玛尔 乔尔·斯维唐 亚伦·福尔斯 明迪·斯特林 塔拉·斯特朗 杰斯·哈梅尔 雷吉纳·托芬 吉姆·瓦德","亚罗·切尼 斯科特·摩西尔"
"24299053","老人和枪 The Old Man and the Gun","7","2018-08-31(特柳赖德电影节) 2018-10-19(美国)","剧情 喜剧 犯罪","罗伯特·雷德福 茜茜·斯派塞克 卡西·阿弗莱克 丹尼·格洛弗 汤姆·威兹 提卡·森普特 阿勒·伊丽莎白·约翰逊 蒂根·约翰逊 吉因·琼斯 约翰·大卫·华盛顿 巴洛·雅克布斯 奥古斯丁·弗里泽尔 小伊塞亚·维特洛克 丽雅·罗伯茨 伊丽莎白·莫斯 阿尔菲厄斯·格林 基思·卡拉丹 肯妮莎·汤普森 罗伯特·朗斯特里特 乔丹·崔威里恩 托比·豪布鲁克斯 克里斯汀·岱伊 拉里·杰克·唐森 帕姆·多尔蒂","大卫·洛维"
"24750460","地狱男爵：血皇后崛起 Hellboy","6","2019-04-12(美国)","动作 科幻 奇幻 冒险","大卫·哈伯 米拉·乔沃维奇 金大贤 伊恩·麦柯肖恩 阿利斯泰·皮垂 萨莎·莱恩 托马斯·哈登·丘奇 佩内洛普·米契尔 苏菲·奥康内多 布莱恩·格里森 克里斯蒂娜·克莱伯 阿什丽·艾德纳 道格拉斯·泰特 贝恩·科拉科 阿塔纳斯·斯雷布雷夫 凡妮莎·艾科尔兹 莱拉·莫尔斯","尼尔·马歇尔"
"24773958","复仇者联盟3：无限战争 Avengers: Infinity War","8","2018-05-11(中国大陆) 2018-04-23(加州首映) 2018-04-27(美国)","动作 科幻 奇幻 冒险","小罗伯特·唐尼 克里斯·海姆斯沃斯 克里斯·埃文斯 马克·鲁弗洛 乔什·布洛林 佐伊·索尔达娜 本尼迪克特·康伯巴奇 克里斯·帕拉特 汤姆·赫兰德 伊丽莎白·奥尔森 保罗·贝坦尼 斯嘉丽·约翰逊 查德维克·博斯曼 塞巴斯蒂安·斯坦 唐·钱德尔 汤姆·希德勒斯顿 安东尼·麦凯 本尼迪克特·王 戴夫·巴蒂斯塔 布莱德利·库珀 范·迪塞尔 凯伦·吉兰 利蒂希娅·赖特 庞·克莱门捷夫 凯莉·库恩 汤姆-沃恩-劳勒 海登·瓦尔希 迈克尔·詹姆斯·肖 泰瑞·诺塔里 本尼西奥·德尔·托罗 彼特·丁拉基 罗斯·马昆德 丹娜·奎里拉 温斯顿·杜克 弗洛伦丝·卡松巴 塞缪尔·杰克逊 雅各布·巴特朗 斯坦·李","安东尼·罗素 乔·罗素"
"25849049","超人总动员2 Incredibles 2","8","2018-06-22(中国大陆) 2018-06-15(美国)","喜剧 动作 动画 冒险","格雷格·T·尼尔森 霍利·亨特 莎拉·沃威尔 赫克·米尔纳 伊莱·富西尔 凯瑟琳·基纳 塞缪尔·杰克逊 伊莎贝拉·罗西里尼 鲍勃·奥登科克 布拉德·伯德 索菲亚·布什 乔纳森·班克斯 约翰·拉岑贝格 金伯利·阿代尔·克拉克 托亚·特纳","布拉德·伯德"
"25882296","狄仁杰之四大天王","6","2018-07-27(中国大陆)","动作 悬疑 奇幻 武侠 古装","赵又廷 冯绍峰 林更新 阮经天 马思纯 刘嘉玲 盛鉴 杨一威 唐古特·宝日夫 张傲月 孙蛟龙 汪汐潮 铁男 李炳雷 许明虎","徐克"
"25917789","铁血战士 The Predator","5","2018-10-26(中国大陆) 2018-09-07(多伦多电影节) 2018-09-14(美国)","动作 科幻 惊悚 冒险","波伊德·霍布鲁克 崔凡特·罗兹 雅各布·特伦布莱 科甘-迈克尔·凯 奥立薇娅·玛恩 斯特林·K·布朗 托马斯·简 阿尔菲·艾伦 奥古斯托·阿奎莱拉 杰克·布塞 伊冯娜·斯特拉霍夫斯基 布赖恩·A·普林斯 麦克·多普德 尼尔迈特 加里·切克 艾米·阿内克 弗雷泽·艾奇逊 简·波斯 洛奇林·莫罗 叶芳华 里斯·威廉姆斯 萨奇·布洛克勒班克 肖恩·O.罗伯茨 柯林·科里根 帕特里克·萨邦圭 弗雷泽·科比特 阿隆·克拉文 安德鲁·詹金斯","沙恩·布莱克"
"25986662","疯狂的外星人","6","2019-02-05(中国大陆)","喜剧 科幻","黄渤 沈腾 汤姆·派福瑞 马修·莫里森 徐峥 于和伟 雷佳音 刘桦 邓飞 蔡明凯 王戈 凯特·纳尔逊 王砚伟 呲路","宁浩"
"26147417","神奇动物：格林德沃之罪 Fantastic Beasts: The Crimes of Grindelwald","7","2018-11-16(中国大陆/美国)","奇幻 冒险","埃迪·雷德梅恩 凯瑟琳·沃特斯顿 约翰尼·德普 裘德·洛 埃兹拉·米勒 丹·福勒 艾莉森·萨多尔 佐伊·克罗维兹 卡勒姆·特纳 金秀贤 威廉·纳迪兰 凯文·格思里 卡门·艾乔戈 沃尔夫·罗特 德里克·里德尔 科内尔·约翰 英格瓦·埃盖特·西古德松 波佩·科比-特曲 西蒙·米考克 大卫·樱井 维多利亚·耶茨 奥拉维尔·达里·奥拉夫松 大卫·威尔莫特 艾德·高根 奥莉维亚·波皮卡 阿尔菲·西蒙斯 菲奥娜·格拉斯科特 杰米·坎贝尔·鲍尔 托比·瑞格波 约书亚·谢伊 布隆蒂斯·佐杜洛夫斯基 杰西卡·威廉姆斯 欧文·弗热瑞 休·夸希 塔希尔·布尔汉 迈克尔·科布 萨比恩·克洛森 亚历珊德拉·福特 肖恩·吉斯灵厄姆 通恰伊·古奈什 迈克尔·海登 露丝·霍洛克斯 泰·赫尔利 纳西尔·贾玛 卡米尔·雷米泽斯基 迪诺·布加迪","大卫·叶茨"
"26219713","克隆人 Replicas","6","2018-11-23(中国大陆) 2019-01-11(美国)","科幻 悬疑 犯罪","基努·里维斯 爱丽丝·伊芙 艾米丽·阿琳·林德 托马斯·米德蒂奇 恩杰伊·安东尼 约翰·奥提兹 尼亚切·海邓迪 艾莉亚·莱蕊克·勒布 艾梅柏·里维拉 艾梅柏·汤森 杰弗里·霍尔斯曼 桑娴·洛格罗诺 奥马尔·克鲁兹·索托 伊万·J·托雷斯·拉桑塔 让·皮埃尔·普拉茨 伊夫林·迪安-奥姆斯特德","杰弗利·纳赫马诺夫"
"26268602","寡妇联盟 Widows","6","2018-09-09(多伦多电影节) 2018-11-16(美国)","剧情 惊悚 犯罪","维奥拉·戴维斯 连姆·尼森 乔·博恩瑟 曼努埃尔·加西亚-鲁尔福 科布恩·格罗斯 米歇尔·罗德里格兹 伊丽莎白·德比茨基 凯莉·库恩 罗伯特·杜瓦尔 科林·法瑞尔 布莱恩·泰里·亨利 丹尼尔·卡卢亚 迈克尔·哈尔尼 安·米切尔 杰基·韦佛 斯蒂芬·希尔 加瑞特·迪拉胡特 凯文·J·奥康纳 乔恩·迈克尔·希尔 辛西娅·艾莉佛 迪安娜·里德-福斯特 阿德普波·奥杜耶 卢卡斯·哈斯 斯蒂夫·托瓦 马克·兰开斯特 马特·沃尔什 大卫·邓斯顿 Alejandro Verdin Bailey Rhyse Walters 索科萝·圣地亚哥 约书亚·拜尔沃特 桐瑞·何 克里斯·诺尔特 斯利姆·克什里","史蒂夫·麦奎因"
"26290410","昨日青空","6","2018-10-26(中国大陆)","爱情 动画",,"奚超"
"26336252","碟中谍6：全面瓦解 Mission: Impossible - Fallout","8","2018-08-31(中国大陆) 2018-07-27(美国)","动作 惊悚 冒险","汤姆·克鲁斯 亨利·卡维尔 文·瑞姆斯 西蒙·佩吉 丽贝卡·弗格森 西恩·哈里斯 安吉拉·贝塞特 凡妮莎·柯比 米歇尔·莫纳汉 韦斯·本特利 费雷德里克·施密特 亚历克·鲍德温 杨亮 克里斯托弗·约纳尔 沃尔夫·布利策 拉斐尔·琼勒 安德鲁·卡扎纳夫·平 克里斯多夫·德·舒瓦西 拉裴尔·德普雷 让·巴普蒂斯特·菲永 马克斯·盖勒 奥利维尔·体班德 亚历山大·普尔 阿利克斯·贝纳泽什 乔伊·安沙 维利贝·托皮奇 格雷厄姆·福克斯 卡斯珀·菲利普森 菲恩·乔利 鲁斯·贝恩 奈杰尔·艾伦","克里斯托弗·麦奎里"
